mmsi,v_name,v_class,v_callsign,v_imo,v_flag,v_system,v_mmsi,v_source
257593000,SPAR RIGEL,Bulk Carrier,LAIS7,9557111, Norway,,257593000,VesselFinder
257756000,FAVORITA,Bulk Carrier,LAGM6,9298519, Norway,,257756000,VesselFinder
257795000,SPAR SCORPIO,Bulk Carrier,LAFN6,9307578, Norway,,257795000,VesselFinder
257849000,STAR ATHENA,Bulk Carrier,LAOZ7,9497880, Norway,,257849000,VesselFinder
258604000,SPAR CETUS,Bulk Carrier,LAVC5,9154608, Norway,,258604000,VesselFinder
258985000,SPAR SIRIUS,Bulk Carrier,LAWK4,9104615, Norway,,258985000,VesselFinder
259093000,SPAR CORVUS,Bulk Carrier,LAKK7,9490791, Norway,,259093000,VesselFinder
259099000,SPAR VEGA,Bulk Carrier,LAKB7,9490870, Norway,,259099000,VesselFinder
259545000,SPAR CAPELLA,Bulk Carrier,LAKA7,9490844, Norway,,259545000,VesselFinder
259701000,SPAR HYDRA,Bulk Carrier,LAKL7,9490806, Norway,,259701000,VesselFinder
259818000,WESTERN WILTON,Bulk Carrier,LAMQ7,9490820, Norway,,259818000,VesselFinder
259967000,STOVE TRANSPORT,Bulk Carrier,LAHE5,9182473, Norway,,259967000,VesselFinder
269036000,LUZERN,Bulk Carrier,HBLU,9240794, Switzerland,,269036000,VesselFinder
269038000,VINDONISSA,Bulk Carrier,HBLL,9520950, Switzerland,,269038000,VesselFinder
269039000,MOLESON,Bulk Carrier,HBLE,9542831, Switzerland,,269039000,VesselFinder
269042000,CORVIGLIA,Bulk Carrier,HBDE,9176747, Switzerland,,269042000,VesselFinder
269045000,GENERAL GUISAN,Bulk Carrier,HBFS,9177648, Switzerland,,269045000,VesselFinder
269059000,GLARUS,Bulk Carrier,HBLP,9220471, Switzerland,,269059000,VesselFinder
269065000,CELERINA,Bulk Carrier,HBLQ,9176759, Switzerland,,269065000,VesselFinder
269108000,AARGAU,Bulk Carrier,HBLD,9583897, Switzerland,,269108000,VesselFinder
269144000,VULLY,Bulk Carrier,HBDY,9583691, Switzerland,,269144000,VesselFinder
269149000,CHARMEY,Bulk Carrier,HBDN,9583706, Switzerland,,269149000,VesselFinder
269217000,THURGAU,Bulk Carrier,HBLF,9611618, Switzerland,,269217000,VesselFinder
269837000,ROMANDIE,Bulk Carrier,HBDV,9542829, Switzerland,,269837000,VesselFinder
271000513,BARBAROS KIRAN,Bulk Carrier,TCVW,7433684, Turkey,,271000513,VesselFinder
271000945,M/V EYLUL K,Bulk Carrier,TCSP6,9394222, Turkey,,271000945,VesselFinder
271002556,TARIK 3,Bulk Carrier,TCSZ7,8413473, Turkey,,271002556,VesselFinder
271040198,MV NECATI KALKAVAN,Bulk Carrier,TCXC6,8301620, Turkey,,271040198,VesselFinder
271040248,M/V IDC FALCON,Bulk Carrier,TCXI5,9324069, Turkey,,271040248,VesselFinder
